,price,bed,bath,acre_lot,zip_code,house_size,major_city,county,radius_in_miles,zipcode,population_estimate_2019,population_change_2019,population_births_2019,population_deaths_2019,population_net_international_migration_2019,population_net_domestic_migration_2019,population_net_migration_2019,unemployment_civilian_labor_force_2020,unemployment_employed_2020,unemployment_unemployed_2020,unemployment_unemployment_rate_2020,unemployment_median_household_income_2019,education_percent_of_adults_with_less_than_a_high_school_diploma_2015-19,education_percent_of_adults_with_a_high_school_diploma_only_2015-19,education_percent_of_adults_completing_some_college_or_associate's_degree_2015-19,education_percent_of_adults_with_a_bachelor's_degree_or_higher_2015-19,population_by_age_total_Under_5_2019,population_by_age_total_5_13_2019,population_by_age_total_14_17_2019,population_by_age_total_18_24_2019,population_by_age_total_16_over_2019,population_by_age_total_18_over_2019,population_by_age_total_15_44_2019,population_by_age_total_25_44_2019,population_by_age_total_45_64_2019,population_by_age_total_65_over_2019,county_name,crime_rate_per_100000,CPOPARST,AG_ARRST,AG_OFF,COVIND,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,lot_flag
1379,389000,6.0,3.0,0.86,12513.0,3280.0,Claverack,Columbia County,2.0,12513.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,False
1452,250000,3.0,2.0,6.0,12502.0,2085.0,Ancram,Columbia County,6.0,12502.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,True
1364,74000,3.0,2.0,2.91,12502.0,2085.0,Ancram,Columbia County,6.0,12502.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,True
1340,320000,3.0,2.0,20.12,12502.0,2085.0,Ancram,Columbia County,6.0,12502.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,True
1105,350000,3.0,2.0,65.0,12523.0,2085.0,Elizaville,Columbia County,5.0,12523.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,True
1098,700000,3.0,2.0,114.2,12523.0,2085.0,Elizaville,Columbia County,5.0,12523.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,True
1090,395000,3.0,2.0,4.95,12502.0,2085.0,Ancram,Columbia County,6.0,12502.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,True
1637,325000,3.0,2.0,2.6,12502.0,2166.0,Ancram,Columbia County,6.0,12502.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,False
1623,1990000,4.0,4.0,92.0,12502.0,4213.0,Ancram,Columbia County,6.0,12502.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,False
1611,495000,2.0,1.0,110.0,12523.0,1177.0,Elizaville,Columbia County,5.0,12523.0,59461.0,-324.0,489.0,676.0,43.0,-178.0,-135.0,30309.0,28431.0,1878.0,6.2,71563.0,9.7,30.0,27.7,32.7,15204.0,27656.0,12905.0,44050.0,256393.0,249741.0,130232.0,76354.0,76065.0,53272.0,Columbia County,168.6936684,62888.0,15.0,7.0,100.0,0.0,15.0,18.0,72.0,262.0,1039.0,12.0,13.0,62243.0,False
